profile,slot,kind,freq_hz,gain_db,q,note
Warm_Tube_Subtle,1,gain,,-2.0,,Safety pad / level match
Warm_Tube_Subtle,2,low_shelf,110,0.8,0.7,Gentle bass warmth
Warm_Tube_Subtle,3,peak,240,0.4,0.8,Lower-mid body
Warm_Tube_Subtle,4,peak,3000,-0.45,0.85,Softer presence
Warm_Tube_Subtle,5,high_shelf,7800,-0.85,0.7,Smoother top octave
Warm_Tube_Subtle,6,peak,12000,-0.25,0.8,Slight air restraint
Warm_Tube_Subtle,7,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Subtle,8,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Subtle,9,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Subtle,10,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Reference,1,gain,,-3.0,,Safety pad / level match
Warm_Tube_Reference,2,low_shelf,105,1.3,0.7,Classic warm foundation
Warm_Tube_Reference,3,peak,220,0.7,0.85,Chest and instrument body
Warm_Tube_Reference,4,peak,650,0.3,0.65,Gentle harmonic density cue
Warm_Tube_Reference,5,peak,2600,-0.8,0.9,Less forward upper mids
Warm_Tube_Reference,6,high_shelf,6800,-1.4,0.65,Tube-like treble sweetness
Warm_Tube_Reference,7,peak,11000,-0.4,0.8,Tame glare/edge
Warm_Tube_Reference,8,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Reference,9,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Reference,10,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Rich,1,gain,,-4.0,,Safety pad / level match
Warm_Tube_Rich,2,low_shelf,115,1.9,0.7,Richer bass warmth
Warm_Tube_Rich,3,peak,260,1.0,0.85,Fuller lower mids
Warm_Tube_Rich,4,peak,520,0.6,0.75,Added wood/body
Warm_Tube_Rich,5,peak,1900,-0.4,0.8,Relaxed mid presence
Warm_Tube_Rich,6,peak,3000,-1.1,0.85,Softer vocal bite
Warm_Tube_Rich,7,high_shelf,6200,-2.0,0.65,Vintage-style top-end ease
Warm_Tube_Rich,8,peak,10000,-0.6,0.8,Extra polish on bright recordings
Warm_Tube_Rich,9,identity,,0.0,,Unused slot reset to flat
Warm_Tube_Rich,10,identity,,0.0,,Unused slot reset to flat
